Regione,Anno,totale incidenti,autovettura privata,autov. priv. con rimorchio, autovettura pubblica,autov. soccorso o polizia,autobus o filobus servizio urbano,autobus servizio extra-urbano,tram,autocarro,autotreno con rimorchio,autosnodato autoarticolato,veicoli speciali,trattore stradale o motrice,trattore agricolo,velocipede,ciclomotore,motociclo a solo,motociclo con passeggero,motocarro o motofurgone,veicolo trazione animale o braccia,veicolo ignoto datosi alla fuga,quadriciclo leggero,altri veicoli,totale veicoli coinvolti,
Italia Centrale,2017,43534,53715,26,370,253,301,286,24,3929,50,293,271,262,60,3110,3017,11790,1353,74,4,340,232,0,79760,
Abruzzo,2017,2946,3939,2,9,15,10,18,1,315,6,24,21,11,6,256,182,457,58,7,0,10,9,0,5356,
Molise,2017,510,665,0,2,1,4,2,0,39,0,12,1,1,7,14,34,65,7,1,0,2,3,0,860,
Campania,2017,9922,12577,4,33,52,46,45,2,705,12,57,56,72,24,314,542,2842,673,49,6,144,31,0,18286,
Puglia,2017,9786,14363,15,28,52,46,55,2,695,22,63,37,43,57,502,537,1247,376,59,1,51,14,0,18265,
Basilicata,2017,848,1094,0,1,5,4,11,0,70,2,8,4,3,4,29,31,88,15,3,0,7,3,0,1382,
Calabria,2017,2910,4235,1,4,21,14,21,0,259,2,18,19,14,8,92,105,350,68,22,0,11,14,0,5278,
Sicilia,2017,11056,13921,21,24,53,59,58,8,744,12,52,35,41,18,524,1064,2741,534,38,5,112,64,0,20128,
Sardegna,2017,3425,4692,3,7,17,21,11,1,248,0,13,17,15,12,137,178,591,80,5,0,11,17,0,6076,
Italia Meridionale e Insulare,2017,41403,55486,46,108,216,204,221,14,3075,56,247,190,200,136,1868,2673,8381,1811,184,12,348,155,0,75631,
Totale 2017,2017,174933,216957,139,978,863,1381,1047,168,16367,302,1487,1151,1430,413,17521,10825,39521,5371,343,22,1706,637,0,318629,
Piemonte,2018,10832,14806,3,65,78,72,77,42,1221,24,87,73,112,40,954,294,1351,181,7,0,61,21,0,19569,
Valle d'Aosta,2018,267,322,0,0,2,1,1,0,29,0,2,1,2,1,17,14,41,6,4,0,1,1,0,445,
Lombardia,2018,32553,39247,13,347,134,160,154,85,3490,48,288,226,357,41,4441,1807,7049,730,18,3,477,102,0,59217,
Prov.Autonoma di Bolzano,2018,1706,1736,1,2,2,22,14,0,234,6,13,17,30,18,405,88,384,39,2,0,8,5,0,3026,
